ID,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,created_at,updated_at
145,1902-05-03,England,Scotland,2,2,British Championship,Birmingham,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
146,1902-07-20,Uruguay,Argentina,0,6,Friendly,Montevideo,Uruguay,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
147,1902-10-12,Austria,Hungary,5,0,Friendly,Vienna,Austria,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
148,1903-02-14,England,Northern Ireland,4,0,British Championship,Wolverhampton,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
149,1903-03-02,England,Wales,2,1,British Championship,Portsmouth,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
150,1903-03-09,Wales,Scotland,0,1,British Championship,Cardiff,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
151,1903-03-21,Scotland,Northern Ireland,0,2,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
152,1903-03-28,Northern Ireland,Wales,2,0,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
153,1903-04-04,England,Scotland,1,2,British Championship,Sheffield,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
154,1903-04-05,Hungary,Czechoslovakia,2,1,Friendly,Budapest,Hungary,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
155,1903-09-13,Argentina,Uruguay,2,3,Friendly,Buenos Aires,Argentina,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
156,1903-10-11,Austria,Hungary,4,2,Friendly,Vienna,Austria,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
157,1904-02-29,Wales,England,2,2,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
158,1904-03-12,Northern Ireland,England,1,3,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
159,1904-03-12,Scotland,Wales,1,1,British Championship,Dundee,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
160,1904-03-21,Wales,Northern Ireland,0,1,British Championship,Bangor,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
161,1904-03-26,Northern Ireland,Scotland,1,1,British Championship,Dublin,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
162,1904-04-09,Scotland,England,0,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
163,1904-05-01,Belgium,France,3,3,Friendly,Brussels,Belgium,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
164,1904-06-02,Hungary,Austria,3,0,Friendly,Budapest,Hungary,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
165,1905-02-12,France,Switzerland,1,0,Friendly,Paris,France,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
166,1905-02-25,England,Northern Ireland,1,1,British Championship,Middlesbrough,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
167,1905-03-06,Wales,Scotland,3,1,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
168,1905-03-18,Scotland,Northern Ireland,4,0,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
169,1905-03-27,England,Wales,3,1,British Championship,Liverpool,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
